WMU,Year,Active_Hunters,Antlered_Harvest,Antlerless_Harvest,Total_Harvest
78,2009,2861,363,289,652
78,2010,2721,338,328,666
78,2011,2544,249,252,501
78,2012,2621,304,210,514
78,2013,2294,258,210,468
78,2014,2610,314,196,510
78,2015,2289,306,165,471
78,2016,2822,358,204,562
78,2017,2485,327,157,484
78,2018,2678,344,186,530
79,2008,742,171,75,246
79,2009,714,199,83,282
79,2010,782,139,114,253
79,2011,838,226,72,298
79,2012,844,138,105,243
79,2013,778,115,68,183
79,2014,822,99,38,137
79,2015,744,169,56,225
79,2016,998,130,76,206
79,2017,1040,131,54,185
79,2018,812,85,48,133
80,2008,4115,755,879,1634
80,2009,4219,664,756,1420
80,2010,4301,712,841,1553
80,2011,4288,752,770,1522
80,2012,4138,752,723,1475
80,2013,4456,819,749,1568
80,2014,4255,593,515,1108
80,2015,3118,673,583,1256
80,2016,3356,652,590,1242
80,2017,3319,543,505,1048
80,2018,3281,598,463,1061
81,2008,2281,534,398,932
81,2009,2454,484,328,812
81,2010,2563,406,369,775
81,2011,2264,429,280,709
81,2012,2511,503,360,863
81,2013,2362,437,369,806
81,2014,2294,275,188,463
81,2015,2353,295,225,520
81,2016,2373,347,197,544
81,2017,2534,403,183,586
81,2018,2359,367,193,560
82A,2008,6403,1681,2034,3715
82A,2009,6697,1521,1596,3117
82A,2010,6496,1124,1587,2711
82A,2011,5953,1081,1555,2636
82A,2012,5866,1191,1592,2783
82A,2013,6750,1864,1706,3570
82A,2014,5846,1081,1220,2301
82A,2015,6570,1374,1047,2421
82A,2016,7206,1476,1088,2564
82A,2017,7229,1377,1214,2591
82A,2018,6549,1404,1250,2654
82B,2008,918,221,247,468
82B,2009,1092,185,233,418
82B,2010,929,197,159,356
82B,2011,962,173,105,278
82B,2012,877,303,121,424
82B,2013,986,212,147,359
82B,2014,947,163,66,229
82B,2015,839,183,98,281
82B,2016,1024,263,139,402
82B,2017,975,203,138,341
82B,2018,1093,170,121,291
83A,2008,1127,116,94,210
83A,2009,1109,80,68,148
83A,2010,971,73,45,118
83A,2011,1030,97,52,149
83A,2012,773,98,30,128
83A,2013,902,198,41,239
83A,2014,925,56,21,77
83A,2015,788,56,28,84
83A,2016,911,123,26,149
83A,2017,929,132,19,151
83A,2018,781,90,25,115
84,2008,3077,828,778,1606
84,2009,3048,564,705,1269
84,2010,2904,699,610,1309
84,2011,3001,728,717,1445
84,2012,2947,741,577,1318
84,2013,2987,690,837,1527
84,2014,3044,562,625,1187
84,2015,3100,660,778,1438
84,2016,3973,886,785,1671
84,2017,3931,858,652,1510
84,2018,3838,844,753,1597
85,2008,4853,1049,1410,2459
85,2009,4848,991,1355,2346
85,2010,4906,1118,1536,2654
85,2011,4889,1150,1455,2605
85,2012,5013,1181,1543,2724
85,2013,5202,1241,1584,2825
85,2014,5341,990,1384,2374
85,2015,5687,1032,1526,2558
85,2016,6289,1452,1636,3088
85,2017,6298,1381,1489,2870
85,2018,5986,1048,1270,2318
86,2008,1512,331,409,740
86,2009,1544,285,454,739
86,2010,1643,355,462,817
86,2011,1673,349,432,781
86,2012,1642,340,421,761
86,2013,1768,477,484,961
86,2014,1818,317,339,656
86,2015,1906,388,376,764
86,2016,2570,594,449,1043
86,2017,2080,428,462,890
86,2018,2022,364,371,735
87,2008,2694,729,472,1201
87,2009,3053,691,511,1202
87,2010,2921,652,566,1218
87,2011,3056,688,511,1199
87,2012,3041,781,551,1332
87,2013,3164,784,580,1364
87,2014,3449,721,383,1104
87,2015,3272,728,332,1060
87,2016,3428,734,323,1057
87,2017,3164,555,332,887
87,2018,3076,445,287,732
88,2008,574,131,114,245
88,2009,563,143,115,258
88,2010,448,48,137,185
88,2011,452,74,125,199
88,2012,524,85,166,251
88,2013,559,137,170,307
88,2014,544,78,148,226
88,2015,499,83,19,102
88,2016,919,233,112,345
88,2017,777,161,143,304
88,2018,892,175,142,317
89,2008,4583,762,840,1602
89,2009,4631,712,821,1533
89,2010,4743,632,869,1501
89,2011,4345,687,790,1477
89,2012,4500,740,812,1552
89,2013,4804,708,706,1414
89,2014,4527,660,533,1193
89,2015,4674,687,522,1209
89,2016,5176,836,625,1461
89,2017,5054,786,563,1349
89,2018,5062,783,574,1357
90,2008,5402,904,959,1863
90,2009,5567,875,1093,1968
90,2010,5412,924,1159,2083
90,2011,5759,951,1141,2092
90,2012,5816,1051,1232,2283
90,2013,5983,895,1411,2306
90,2014,6039,1006,1176,2182
90,2015,6424,1267,1190,2457
90,2016,6971,1231,1190,2421
90,2017,6509,1078,1161,2239
90,2018,6211,1060,1022,2082
91,2008,2911,552,673,1225
91,2009,2825,544,527,1071
91,2010,2763,490,622,1112
91,2011,2618,489,516,1005
91,2012,2896,612,501,1113
91,2013,2996,548,588,1136
91,2014,3060,482,495,977
91,2015,3104,585,554,1139
91,2016,3313,632,463,1095
91,2017,3179,610,472,1082
91,2018,3171,557,483,1040
92,2008,5883,1405,2000,3405
92,2009,6034,1396,1531,2927
92,2010,5995,1389,1874,3263
92,2011,5942,1433,1647,3080
92,2012,6360,1375,1656,3031
92,2013,6231,1662,1678,3340
92,2014,6460,1583,1323,2906
92,2015,7057,1979,1425,3404
92,2016,7868,2003,1443,3446
92,2017,7581,1958,1469,3427
92,2018,8247,2058,1530,3588
93,2008,2399,429,638,1067
93,2009,2646,550,608,1158
93,2010,2592,538,656,1194
93,2011,2831,599,557,1156
93,2012,2694,598,614,1212
93,2013,2881,669,712,1381
93,2014,2866,608,540,1148
93,2015,3320,939,666,1605
93,2016,3685,940,677,1617
93,2017,3750,956,650,1606
93,2018,3475,855,735,1590
94,2008,1411,138,248,386
94,2009,1555,220,276,496
94,2010,1403,278,277,555
94,2011,1607,371,192,563
94,2012,1406,275,229,504
94,2013,1669,235,224,459
94,2014,1638,261,175,436
94,2015,1784,530,187,717
94,2016,2150,441,216,657
94,2017,2316,361,222,583
94,2018,2129,377,217,594
Total,2008,197659,37907,37991,75898
Total,2009,199583,32835,31297,64132
Total,2010,193100,32662,30130,62792
Total,2011,192468,35352,30776,66128
Total,2012,194008,39188,31847,71035
Total,2013,200629,41235,32065,73300
Total,2014,189394,28908,25013,53921
Total,2015,193742,32360,24374,56734
Total,2016,214313,39391,24196,63587
Total,2017,209221,35937,24945,60882
Total,2018,205594,33919,25013,58932
